name,orgType,theme,themes,venue,address,lat,lng,url,description,initiatives,labels
Kai Kaupapa Group,Kaupapa Group,Weaving Porirua Together,"Weaving Porirua Together, Te Taiao",Te Rauparaha Arena,"17 Parumoana Street, Porirua",-41.1369,174.8411,https://reindeer-avocado-974t.squarespace.com/kai,"PCLF kaupapa group bringing providers, iwi and community leaders together to shape Porirua's kai system. Aligned with Goal 2 of the Regional Food System Plan.","Aligning Pātaka Kai, Te Umu ki Rangituhi and kai providers | Contribution to the Regional Food System Plan | Food Security Continuum work",kai system | PCLF | Food System Plan
Housing Kaupapa Group,Kaupapa Group,How We Roll,"How We Roll, Weaving Porirua Together",Te Āhuru Mōwai,Porirua,-41.1384,174.8414,https://reindeer-avocado-974t.squarespace.com/housing,"PCLF kaupapa group working across the Housing Continuum with iwi, Te Āhuru Mōwai, Kāinga Ora and community housing providers on access, coordination and wrap-around supports.",Coordination across housing providers | Shared visibility of housing stock | Responses to severe housing deprivation in Porirua,housing continuum | PCLF | coordination
Te Umu ki Rangituhi — Porirua's Social Supermarket,Social Enterprise,Weaving Porirua Together,Weaving Porirua Together,Te Umu ki Rangituhi,Porirua,-41.1402,174.8448,https://reindeer-avocado-974t.squarespace.com/kai,"Porirua's social supermarket. Restores choice and dignity for whānau needing kai support — 1,017 tangata supported in the second half of 2025.","Affordable, dignified kai access | Reducing stigma in food support | Supporting wider kai system coordination",social supermarket | kai | dignity
Te Āhuru Mōwai,Social Enterprise,How We Roll,"How We Roll, Weaving Porirua Together",Te Āhuru Mōwai,Porirua,-41.1382,174.8412,https://teahurumowai.co.nz/,"Ngāti Toa-connected community housing provider delivering public housing with wrap-around, locally grounded support across Porirua.",Public and community housing tenancies | Wrap-around whānau support | Housing Kaupapa Group partner,community housing | iwi-connected | whānau support
Porirua City Council,Council / Government,How We Roll,"How We Roll, How Stuff Works, Rangatahi",Porirua City Council,"16 Cobham Court, Porirua",-41.1371,174.8398,https://poriruacity.govt.nz/,"Local authority for Porirua. Partner on place-based initiatives, infrastructure investment, youth voice (Youth Council co-design) and the Te Awarua-o-Porirua Harbour Accord.",Youth Council co-design | Climate action plan | Water / stormwater resilience investment,local government | harbour accord | youth council
Kāinga Ora — Porirua,Council / Government,How We Roll,How We Roll,Kāinga Ora Porirua,Porirua,-41.139,174.841,https://kaingaora.govt.nz/,"Central government public housing provider. Significant landlord in Porirua, contributing to the housing continuum alongside Te Āhuru Mōwai and community housing providers.",Public housing tenancies | Healthy Homes upgrades | Regeneration projects,public housing | Healthy Homes
Metlink / Greater Wellington Regional Council,Council / Government,How Stuff Works,"How Stuff Works, Te Taiao",Porirua Train Station,Porirua,-41.138,174.8402,https://www.metlink.org.nz/,"Regional government body responsible for public transport (Metlink), harbour health and flood protection. Partners on last-mile connectivity and on-demand bus trials across Porirua.",On-demand bus trials | Te Awarua-o-Porirua Harbour Accord | Regional climate & flood response,public transport | harbour accord | regional
Porirua College,School / Kura,Know More Do More,"Know More Do More, Rangatahi",Porirua College,Porirua,-41.1395,174.844,https://www.poriruacollege.school.nz/,"Secondary school with a strong te ao Māori foundation. Hosts kura reo and climate mahi with rangatahi, part of the Porirua schools climate cluster.",Kura reo: taiao & climate | Rangatahi leadership programmes | Schools climate cluster participation,kura | rangatahi | taiao
Aotea College,School / Kura,Rangatahi,"Rangatahi, Know More Do More",Aotea College,"Aotea, Porirua",-41.129,174.8538,https://www.aotea.school.nz/,Secondary school serving northern Porirua. Partner for Mātiti Tamariki wānanga — sustainable practices reinstated and expanded across age ranges.,Mātiti Tamariki wānanga | Enviroschools participation | Cross-generational sustainability kaupapa,kura | rangatahi | enviroschools
Enviroschools Porirua cluster,School / Kura,Know More Do More,"Know More Do More, Te Taiao, Rangatahi",Porirua schools cluster,Porirua,-41.141,174.846,https://www.enviroschools.org.nz/,Local cluster of the national Enviroschools programme — tamariki-led climate and sustainability learning embedded in the curriculum across Porirua schools.,'Porirua Schools Step Up on Climate' campaign | Native planting with Ngahere Korowai | Curriculum-embedded sustainability,schools network | tamariki-led | curriculum
Porirua Harbour Trust,Advocacy / Research,Te Taiao,"Te Taiao, How Stuff Works",Te Awarua-o-Porirua Harbour,Porirua,-41.128,174.847,https://www.poriruaharbourtrust.org.nz/,"Community-led advocacy and restoration for Te Awarua-o-Porirua. Working bees, monitoring and education focused on stormwater, stream health and the wider harbour ecosystem.",Waterways restoration working bees | Porirua Stream water-quality monitoring | Schools education programmes,harbour | water quality | restoration
Te Reo o Ngā Tāngata / The People Speak,Advocacy / Research,How We Roll,"How We Roll, Rangatahi",Pātaka Art + Museum,"17 Parumoana Street, Porirua",-41.1363,174.8418,https://thepeoplespeak.nz/,Deliberative democracy specialists who partnered on the Porirua Assembly. Designs Te Tiriti-based citizens' assemblies and community-informed governance models.,Porirua Assembly co-design | Te Tiriti governance model workshops | Deliberative democracy research,deliberative | Te Tiriti | governance
Sustainability Trust,Advocacy / Research,How Stuff Works,"How Stuff Works, Know More Do More",Cannons Creek Community Hall,"Cannons Creek, Porirua (programme venue)",-41.1485,174.85,https://sustaintrust.org.nz/,"Wellington-region sustainability charity delivering Healthy Homes assessments, energy advice, tenant education and community solar + battery programmes across Porirua neighbourhoods.",Healthy Homes assessments | Community solar + battery info nights | Tenant energy advocacy,Healthy Homes | energy | solar
