name,orgType,theme,themes,venue,address,lat,lng,url,description,initiatives,labels
Kai Kaupapa Group,Kaupapa Group,Weaving Porirua Together,"Weaving Porirua Together, Te Taiao",Te Rauparaha Arena,"17 Parumoana Street, Porirua",-41.1369,174.8411,https://reindeer-avocado-974t.squarespace.com/kai,"PCLF kaupapa group bringing providers, iwi and community leaders together to shape Porirua's kai system. Aligned with Goal 2 of the Regional Food System Plan.","Aligning Pātaka Kai, Te Umu ki Rangituhi and kai providers | Contribution to the Regional Food System Plan | Food Security Continuum work",kai system | PCLF | Food System Plan
Housing Kaupapa Group,Kaupapa Group,How We Roll,"How We Roll, Weaving Porirua Together",Te Āhuru Mōwai,Porirua,-41.1384,174.8414,https://reindeer-avocado-974t.squarespace.com/housing,"PCLF kaupapa group working across the Housing Continuum with iwi, Te Āhuru Mōwai, Kāinga Ora and community housing providers on access, coordination and wrap-around supports.",Coordination across housing providers | Shared visibility of housing stock | Responses to severe housing deprivation in Porirua,housing continuum | PCLF | coordination
Te Umu ki Rangituhi — Porirua's Social Supermarket,Social Enterprise,Weaving Porirua Together,Weaving Porirua Together,Te Umu ki Rangituhi,Porirua,-41.1402,174.8448,https://reindeer-avocado-974t.squarespace.com/kai,"Porirua's social supermarket. Restores choice and dignity for whānau needing kai support — 1,017 tangata supported in the second half of 2025.","Affordable, dignified kai access | Reducing stigma in food support | Supporting wider kai system coordination",social supermarket | kai | dignity
Te Āhuru Mōwai,Social Enterprise,How We Roll,"How We Roll, Weaving Porirua Together",Te Āhuru Mōwai,Porirua,-41.1382,174.8412,https://teahurumowai.co.nz/,"Ngāti Toa-connected community housing provider delivering public housing with wrap-around, locally grounded support across Porirua.",Public and community housing tenancies | Wrap-around whānau support | Housing Kaupapa Group partner,community housing | iwi-connected | whānau support
Porirua City Council,Council / Government,How We Roll,"How We Roll, How Stuff Works, Rangatahi",Porirua City Council,"16 Cobham Court, Porirua",-41.1371,174.8398,https://poriruacity.govt.nz/,"Local authority for Porirua. Partner on place-based initiatives, infrastructure investment, youth voice (Youth Council co-design) and the Te Awarua-o-Porirua Harbour Accord.",Youth Council co-design | Climate action plan | Water / stormwater resilience investment,local government | harbour accord | youth council
Kāinga Ora — Porirua,Council / Government,How We Roll,How We Roll,Kāinga Ora Porirua,Porirua,-41.139,174.841,https://kaingaora.govt.nz/,"Central government public housing provider. Significant landlord in Porirua, contributing to the housing continuum alongside Te Āhuru Mōwai and community housing providers.",Public housing tenancies | Healthy Homes upgrades | Regeneration projects,public housing | Healthy Homes
Metlink / Greater Wellington Regional Council,Council / Government,How Stuff Works,"How Stuff Works, Te Taiao",Porirua Train Station,Porirua,-41.138,174.8402,https://www.metlink.org.nz/,"Regional government body responsible for public transport (Metlink), harbour health and flood protection. Partners on last-mile connectivity and on-demand bus trials across Porirua.",On-demand bus trials | Te Awarua-o-Porirua Harbour Accord | Regional climate & flood response,public transport | harbour accord | regional
Porirua College,School / Kura,Know More Do More,"Know More Do More, Rangatahi",Porirua College,Porirua,-41.1395,174.844,https://www.poriruacollege.school.nz/,"Secondary school with a strong te ao Māori foundation. Hosts kura reo and climate mahi with rangatahi, part of the Porirua schools climate cluster.",Kura reo: taiao & climate | Rangatahi leadership programmes | Schools climate cluster participation,kura | rangatahi | taiao
Aotea College,School / Kura,Rangatahi,"Rangatahi, Know More Do More",Aotea College,"Aotea, Porirua",-41.129,174.8538,https://www.aotea.school.nz/,Secondary school serving northern Porirua. Partner for Mātiti Tamariki wānanga — sustainable practices reinstated and expanded across age ranges.,Mātiti Tamariki wānanga | Enviroschools participation | Cross-generational sustainability kaupapa,kura | rangatahi | enviroschools
Enviroschools Porirua cluster,School / Kura,Know More Do More,"Know More Do More, Te Taiao, Rangatahi",Porirua schools cluster,Porirua,-41.141,174.846,https://www.enviroschools.org.nz/,Local cluster of the national Enviroschools programme — tamariki-led climate and sustainability learning embedded in the curriculum across Porirua schools.,'Porirua Schools Step Up on Climate' campaign | Native planting with Ngahere Korowai | Curriculum-embedded sustainability,schools network | tamariki-led | curriculum
Porirua Harbour Trust,Advocacy / Research,Te Taiao,"Te Taiao, How Stuff Works",Te Awarua-o-Porirua Harbour,Porirua,-41.128,174.847,https://www.poriruaharbourtrust.org.nz/,"Community-led advocacy and restoration for Te Awarua-o-Porirua. Working bees, monitoring and education focused on stormwater, stream health and the wider harbour ecosystem.",Waterways restoration working bees | Porirua Stream water-quality monitoring | Schools education programmes,harbour | water quality | restoration
Te Reo o Ngā Tāngata / The People Speak,Advocacy / Research,How We Roll,"How We Roll, Rangatahi",Pātaka Art + Museum,"17 Parumoana Street, Porirua",-41.1363,174.8418,https://thepeoplespeak.nz/,Deliberative democracy specialists who partnered on the Porirua Assembly. Designs Te Tiriti-based citizens' assemblies and community-informed governance models.,Porirua Assembly co-design | Te Tiriti governance model workshops | Deliberative democracy research,deliberative | Te Tiriti | governance
Sustainability Trust,Advocacy / Research,How Stuff Works,"How Stuff Works, Know More Do More",Cannons Creek Community Hall,"Cannons Creek, Porirua (programme venue)",-41.1485,174.85,https://sustaintrust.org.nz/,"Wellington-region sustainability charity delivering Healthy Homes assessments, energy advice, tenant education and community solar + battery programmes across Porirua neighbourhoods.",Healthy Homes assessments | Community solar + battery info nights | Tenant energy advocacy,Healthy Homes | energy | solar
Hongoeka Marae,Iwi & Marae,Weaving Porirua Together,"Weaving Porirua Together, Te Taiao",Hongoeka Marae,"18 Hongoeka Bay Road, Plimmerton, Porirua",-41.0702,174.8602,https://www.toarangatira.iwi.nz/,Ngāti Toa Rangatira marae on the coast north of Plimmerton. Wharenui Te Heke Mai Raro; one of two remaining traditional Ngāti Toa marae alongside Takapūwāhia.,Marae wānanga | Hapū gatherings | Ngāti Toa coastal kaitiakitanga,marae | Ngāti Toa | coastal
Maraeroa Marae,Iwi & Marae,Weaving Porirua Together,"Weaving Porirua Together, How We Roll",Maraeroa Marae,"Waitangirua, Porirua",-41.1458,174.8588,https://maraeroamarae.nz/,Multi-cultural marae in Waitangirua established 1973 on whenua from the Porirua Licensing Trust. Wharenui Ngā Hau e Whā welcomes whānau from all four winds; second wharenui Ūkaipō Hiato opened 1996.,Noho marae and wānanga | Cultural events | Community hosting,marae | multicultural | Waitangirua
Mana College,School / Kura,Rangatahi,"Rangatahi, Know More Do More",Mana College,"Takapūwāhia, Porirua",-41.1356,174.8385,https://www.manacollege.school.nz/,"Secondary school (Years 9-13) in Takapūwāhia, founded 1957. Participates in the Tumai Hauora ki Porirua Tuakana-Teina peer support programme and Youth Health Ambassador Cadetships.",Tuakana-Teina peer support | Youth Health Ambassadors | Youth 2 Work pathways,kura | rangatahi | Takapūwāhia
Bishop Viard College,School / Kura,Rangatahi,Rangatahi,Bishop Viard College,"Kenepuru, Porirua",-41.1465,174.8355,,"Catholic integrated secondary school (Years 7-13) in Kenepuru, founded 1968.",Catholic character programme | Pasifika groups | Careers and pathways,kura | Catholic | rangatahi
Brandon Intermediate,School / Kura,Rangatahi,Rangatahi,Brandon Intermediate,"Cannons Creek, Porirua",-41.1478,174.8515,,State intermediate school (Years 7-8) in Cannons Creek. Performed the rousing haka at the opening of Bedford Reserve community space.,Transition to secondary | Cultural performance programmes,kura | intermediate | Cannons Creek
Titahi Bay Intermediate,School / Kura,Rangatahi,Rangatahi,Titahi Bay Intermediate,"Titahi Bay, Porirua",-41.1087,174.836,,State intermediate school (Years 7-8) in Titahi Bay.,Transition to secondary | Local learning,kura | intermediate | Titahi Bay
Adventure School,School / Kura,Know More Do More,Know More Do More,Adventure School,"Whitby, Porirua",-41.12,174.885,,"State full primary (Years 1-8) in Whitby, one of the larger Porirua primaries.",Curriculum-embedded learning,kura | primary | Whitby
Cannons Creek School,School / Kura,Know More Do More,"Know More Do More, Weaving Porirua Together",Cannons Creek School,"Cannons Creek, Porirua",-41.1485,174.8505,,State contributing primary (Years 1-6) in Cannons Creek. Leaders participated in the student-led Bedford Reserve co-design alongside Glenview and Windley.,Bedford Reserve co-design | Local curriculum | Whānau engagement,kura | primary | Cannons Creek
Corinna School,School / Kura,Know More Do More,Know More Do More,Corinna School,"Waitangirua, Porirua",-41.1462,174.8612,,State full primary (Years 1-8) in Waitangirua.,Local curriculum | Whānau engagement,kura | primary | Waitangirua
Discovery School,School / Kura,Know More Do More,Know More Do More,Discovery School,"Whitby, Porirua",-41.122,174.886,,State full primary (Years 1-8) in Whitby.,Local curriculum | Outdoor education,kura | primary | Whitby
Glenview School (Porirua East),School / Kura,Weaving Porirua Together,"Weaving Porirua Together, Know More Do More",Glenview School,"Cannons Creek, Porirua",-41.1492,174.852,,State contributing primary in Porirua East/Cannons Creek. Designed and painted the mural for the Bedford Reserve community space.,Bedford Reserve mural | Local curriculum,kura | primary | Porirua East
Holy Family School (Porirua),School / Kura,Know More Do More,Know More Do More,Holy Family School,"Cannons Creek, Porirua",-41.1478,174.8522,,Catholic integrated contributing primary (Years 1-6) in Cannons Creek.,Catholic character programme | Local curriculum,kura | Catholic | Cannons Creek
Mahinawa Specialist School and Resource Centre,School / Kura,Know More Do More,"Know More Do More, Rangatahi",Mahinawa Specialist School,"Takapūwāhia, Porirua",-41.1358,174.8402,,State specialist school and resource centre supporting tamariki and rangatahi with high and complex learning needs across Porirua.,Specialist learning programmes | Resource centre support,kura | specialist | inclusive education
Maraeroa School,School / Kura,Know More Do More,Know More Do More,Maraeroa School,"Cannons Creek, Porirua",-41.1475,174.8508,,State contributing primary (Years 1-6) in Cannons Creek.,Local curriculum | Whānau engagement,kura | primary | Cannons Creek
Natone Park School,School / Kura,Know More Do More,Know More Do More,Natone Park School,"Waitangirua, Porirua",-41.146,174.862,,State contributing primary (Years 1-6) in Waitangirua.,Local curriculum | Whānau engagement,kura | primary | Waitangirua
Ngati Toa School,School / Kura,Know More Do More,"Know More Do More, Weaving Porirua Together",Ngati Toa School,"Titahi Bay, Porirua",-41.1095,174.838,,"State contributing primary (Years 1-6) in Titahi Bay, connected to mana whenua Ngāti Toa Rangatira.",Mana whenua-connected kaupapa | Local curriculum,kura | primary | Titahi Bay
Papakōwhai School,School / Kura,Know More Do More,Know More Do More,Papakōwhai School,"Papakōwhai, Porirua",-41.119,174.8647,,State full primary (Years 1-8) in Papakōwhai.,Local curriculum | Environmental learning,kura | primary | Papakōwhai
Paremata School,School / Kura,Know More Do More,Know More Do More,Paremata School,"Paremata, Porirua",-41.1023,174.8683,,State full primary (Years 1-8) in Paremata.,Local curriculum | Harbour-edge learning,kura | primary | Paremata
Pauatahanui School,School / Kura,Know More Do More,"Know More Do More, Te Taiao",Pauatahanui School,"Pāuatahanui, Porirua",-41.1013,174.9044,,"State full primary (Years 1-8) in Pāuatahanui, close to the Wildlife Reserve.",Local curriculum | Environmental education,kura | primary | Pāuatahanui
Plimmerton School,School / Kura,Know More Do More,Know More Do More,Plimmerton School,"Plimmerton, Porirua",-41.0814,174.8637,,State full primary (Years 1-8) in Plimmerton.,Local curriculum | Coastal learning,kura | primary | Plimmerton
Porirua East School,School / Kura,Know More Do More,Know More Do More,Porirua East School,"Rānui, Porirua",-41.144,174.852,,State contributing primary (Years 1-6) in Rānui/Porirua East. Student artwork featured in the 2024 Toi Rama exhibition at Pātaka.,Toi Rama artmaking | Local curriculum,kura | primary | Porirua East
Porirua School,School / Kura,Know More Do More,"Know More Do More, Weaving Porirua Together",Porirua School,"Elsdon, Porirua",-41.135,174.842,http://www.porirua.school.nz/,"State contributing primary (Years 1-6) in central Porirua/Elsdon, supported by Ngāti Toa Rangatira and Porirua City Council.",Local curriculum | Pātaka and Te Rauparaha Arena learning | Iwi partnership,kura | primary | Elsdon
Postgate School,School / Kura,Know More Do More,Know More Do More,Postgate School,"Whitby, Porirua",-41.122,174.887,,State full primary (Years 1-8) in Whitby.,Local curriculum,kura | primary | Whitby
Pukerua Bay School,School / Kura,Know More Do More,"Know More Do More, Te Taiao",Pukerua Bay School,"Pukerua Bay, Porirua",-41.0342,174.897,,"State full primary (Years 1-8) in Pukerua Bay, at the northern edge of Porirua.",Local curriculum | Coastal learning,kura | primary | Pukerua Bay
Rangikura School,School / Kura,Know More Do More,Know More Do More,Rangikura School,"Ascot Park, Porirua",-41.1517,174.8488,,State full primary (Years 1-8) in Ascot Park.,Local curriculum,kura | primary | Ascot Park
Russell School (Porirua East),School / Kura,Know More Do More,Know More Do More,Russell School,"Cannons Creek, Porirua",-41.1478,174.852,,State contributing primary (Years 1-6) in Porirua East/Cannons Creek.,Local curriculum,kura | primary | Porirua East
St Pius X School (Titahi Bay),School / Kura,Know More Do More,Know More Do More,St Pius X School,"Titahi Bay, Porirua",-41.109,174.836,,Catholic integrated contributing primary (Years 1-6) in Titahi Bay.,Catholic character programme,kura | Catholic | Titahi Bay
St Theresa's School (Plimmerton),School / Kura,Know More Do More,Know More Do More,St Theresa's School,"Plimmerton, Porirua",-41.0816,174.864,,Catholic integrated contributing primary (Years 1-6) in Plimmerton.,Catholic character programme,kura | Catholic | Plimmerton
Tairangi School,School / Kura,Know More Do More,Know More Do More,Tairangi School,"Waitangirua, Porirua",-41.1462,174.861,,State full primary (Years 1-8) in Waitangirua.,Local curriculum,kura | primary | Waitangirua
Te Kura Māori o Porirua,School / Kura,Rangatahi,"Rangatahi, Know More Do More, Weaving Porirua Together",Te Kura Māori o Porirua,"Waitangirua, Porirua",-41.146,174.861,https://kura-porirua.school.nz/,Kura rūmaki reo Māori serving Years 1-13 in Waitangirua. Total-immersion te reo Māori learning grounded in kaupapa Māori and mana whenua relationships with Ngāti Toa Rangatira.,Kura kaupapa Māori curriculum | Te reo immersion Years 1-13 | Iwi-connected learning,kura kaupapa | te reo | rumaki
Titahi Bay North School,School / Kura,Know More Do More,Know More Do More,Titahi Bay North School,"Titahi Bay, Porirua",-41.105,174.838,,State full primary (Years 1-8) in Titahi Bay.,Local curriculum,kura | primary | Titahi Bay
Titahi Bay School,School / Kura,Know More Do More,Know More Do More,Titahi Bay School,"Titahi Bay, Porirua",-41.1087,174.836,,State contributing primary (Years 1-6) in Titahi Bay.,Local curriculum,kura | primary | Titahi Bay
Windley School,School / Kura,Know More Do More,"Know More Do More, Weaving Porirua Together",Windley School,"Cannons Creek, Porirua",-41.148,174.852,,State full primary (Years 1-8) in Cannons Creek. Performed at the opening of the Bedford Reserve community space.,Bedford Reserve celebration | Local curriculum,kura | primary | Cannons Creek
Whitireia and WelTec Porirua Campus,School / Kura,Know More Do More,"Know More Do More, Rangatahi",Whitireia Porirua Campus,"3 Wi Neera Drive, Elsdon, Porirua",-41.13,174.836,https://www.whitireiaweltec.ac.nz/current-students/our-campuses/porirua-campus/,"Tertiary campus on the shores of Porirua Harbour, established 1986 as Parumoana Community College. Offers community-driven courses including nursing, performing arts and trades.",Nursing programmes | Performing arts | Trade and construction training | Whitireia Scholarships via Tū Ora Compass,tertiary | Te Pūkenga | Wi Neera Drive
Te Kōhanga Reo o Te Toka Āhuru,School / Kura,Rangatahi,"Rangatahi, Weaving Porirua Together",Te Kōhanga Reo o Te Toka Āhuru,"197 Warspite Avenue, Waitangirua, Porirua",-41.147,174.861,https://www.kohanga.ac.nz/,Total-immersion te reo Māori kōhanga reo for tamariki aged 1-5 in Waitangirua. Part of the Te Rāhuitanga me Te Awatea Hōu purapura (Porirua) within Te Kōhanga Reo National Trust.,Total immersion te reo | Whānau-led kaupapa | Ikaroa Purapura participation,kōhanga reo | te reo | Waitangirua
Te Kōhanga Reo o Manawanui,School / Kura,Rangatahi,"Rangatahi, Weaving Porirua Together",Te Kōhanga Reo o Manawanui,"146 Mungavin Avenue, Cannons Creek, Porirua",-41.148,174.853,https://www.kohanga.ac.nz/,Total-immersion te reo Māori kōhanga reo in Cannons Creek. Part of the Te Rāhuitanga me Te Awatea Hōu purapura (Porirua).,Total immersion te reo | Whānau-led kaupapa,kōhanga reo | te reo | Cannons Creek
Porirua Whānau Centre,Community Group,Weaving Porirua Together,"Weaving Porirua Together, How We Roll",Porirua Whānau Centre,"16 Bedford Court, Cannons Creek, Porirua",-41.148,174.852,http://www.poriruawhanau.org.nz/,"Kaupapa Māori community hub in Cannons Creek offering family violence prevention, budgeting, transitional and social housing, parenting programmes, early childhood education and social work for whānau across Porirua.",Creekfest community festival | Social and transitional housing | Parenting and budgeting programmes | Family violence prevention,kaupapa Māori | whānau hub | Cannons Creek
Taeaomanino Trust,Community Group,Weaving Porirua Together,"Weaving Porirua Together, Rangatahi",Taeaomanino Trust,Porirua,-41.1375,174.84,https://www.taeaomanino.org.nz/,"Pacific-led trust providing wrap-around social and mental health services to Pacific families in Porirua; funded through Te Whatu Ora, Oranga Tamariki and MSD partnerships.",Pacific social work | Pacific mental health services | Rangatahi and whānau programmes,Pacific | wrap-around | whānau support
Piri'anga Alofa Pacific and Community Services,Community Group,Weaving Porirua Together,"Weaving Porirua Together, Rangatahi",Piri'anga Alofa,Porirua,-41.138,174.843,https://www.piriangaalofa.org.nz/,"Pacific-led Whānau Manaaki affiliate running Le Fale Jobs and Skills Hub at Cannons Creek, Mau Te Rongo rangatahi navigators, Etu Ao home-based ECE and the world's first Pacific kindergartens.",Le Fale Jobs and Skills Hub | Mau Te Rongo rangatahi navigators | Etu Ao home-based ECE | Pacific kindergartens,Pacific-led | rangatahi navigators | jobs & skills
ATAMU EFKS Porirua,Community Group,Weaving Porirua Together,Weaving Porirua Together,ATAMU EFKS,Porirua,-41.139,174.842,https://atamu.org.nz/,"EFKS (Congregational Christian Church of Samoa) Porirua church-based incorporated society delivering culturally grounded socio-economic development, healthy living and whānau support programmes.",Promoting Healthy Living programme | Supporting Our Children programme | Community empowerment,Samoan church | EFKS | Porirua
Atafu Tokelau Community Group,Community Group,Weaving Porirua Together,"Weaving Porirua Together, Know More Do More",Matauala Centre,Porirua,-41.139,174.842,https://www.matauala.org.nz/,"Tokelau (Atafu) community association running the Matauala Centre in Porirua since 1987 — an educational and cultural hub for the 4,000+ Tokelauans of the Wellington region.",Gagana Tokelau language maintenance | Atafu Gafa genealogy documentation | Cultural and educational programmes,Tokelau | Atafu | Matauala
Porirua Cook Islands Association,Community Group,Weaving Porirua Together,"Weaving Porirua Together, Rangatahi",Porirua Cook Islands Association,Porirua,-41.14,174.842,https://www.neighbourly.co.nz/business/porirua-cook-islands-association,"Community association for Porirua's 3,900+ Cook Islands Māori residents — the second-largest Pacific group in the city (2023 Census). Supports language and cultural connection including Fresh Cook Islands Drumming Classes at Rakahanga Manihiki Fare.",Cook Islands cultural events | Fresh Cook Islands Drumming Classes (youth),Cook Islands Māori | Pasifika | culture
Salvation Army Porirua Community Ministries,Community Group,Weaving Porirua Together,Weaving Porirua Together,Salvation Army Porirua,"Cnr Warspite & Fantame Street, Porirua",-41.147,174.85,https://www.salvationarmy.org.nz/location/porirua-community-ministries/,"Porirua Community Ministries providing food parcels, budgeting advice, life-skills and parenting courses, social work and transitional housing from the corner of Warspite and Fantame Street.",Foodbank Project Porirua parcels | Financial mentoring | Parenting courses | Grace community meal,food bank | budgeting | transitional housing
Porirua Women & Family Centre,Community Group,Weaving Porirua Together,Weaving Porirua Together,Porirua Women & Family Centre,Porirua,-41.139,174.842,https://poriruawomenandfamilycentre.org.nz/,"Wrap-around service set up by Whare Manaaki Women's Refuge for wāhine and their whānau — open 9.30am-3.30pm Mon-Fri with free workshops, social work, food help and mental health support.",Free wāhine workshops | Food and kai support | Social work and advocacy | Refuge wrap-around,wāhine | refuge-connected | whānau
Te Waka Whaiora Trust,Community Group,Weaving Porirua Together,Weaving Porirua Together,Te Waka Whaiora,"1 Walton Leigh Avenue, Porirua",-41.138,174.842,https://www.tww.org.nz/,"Kaupapa Māori mental health and addictions charitable trust in Porirua running a 4-bed sub-acute whare (Te Whare Matatini Hauora), navigation (Ngā Kaihoe Whakatere) and home-based support (Te Whare Tautoko).",Te Whare Matatini Hauora sub-acute beds | Ngā Kaihoe Whakatere navigation | Te Whare Tautoko home-based support,kaupapa Māori | mental health | sub-acute
Partners Porirua,Community Group,Rangatahi,"Rangatahi, Weaving Porirua Together, Know More Do More",Partners Porirua,"3 Cobham Court, Porirua",-41.138,174.84,https://partnersporirua.org.nz/,"Porirua-wide rangatahi organisation connecting schools, employers and community since 2000. Delivers the Youth 2 Work Movement, Youth Service contract for MSD, Tupu Aotearoa Pacific programme and youth health cadetships.",Youth 2 Work Movement | Porirua Outstanding Young Employee Awards | Youth Service (MSD) | Tupu Aotearoa navigators | Bedford Reserve co-design,rangatahi pathways | Youth 2 Work | Tupu Aotearoa
Presbyterian Support Central (Porirua),Community Group,Weaving Porirua Together,"Weaving Porirua Together, How We Roll",Presbyterian Support Central,"1 Prosser Street, Elsdon, Porirua",-41.135,174.843,https://www.psc.org.nz/,Not-for-profit delivering Family Works (social services for tamariki and whānau) and Enliven (aged care) across the lower North Island from the Porirua office in Elsdon.,Family Works counselling and social work | Social Workers in Schools (SWiS) | Enliven aged care,Family Works | Enliven | SWiS
Citizens Advice Bureau Porirua,Community Group,How Stuff Works,"How Stuff Works, Weaving Porirua Together",Citizens Advice Bureau Porirua,"14 Hartham Place North, Porirua",-41.137,174.84,https://porirua.cab.org.nz/,"Free, confidential information and advice service covering Porirua. Maintains the Porirua Community Directory and CAB Youth Tool Kete, and refers to the Community Law Centre next door.",Porirua Community Directory | Youth Tool Kete | Free advice line 0800 367 222,CAB | directory | free advice
Guardians of Pāuatahanui Inlet,Advocacy / Research,Te Taiao,"Te Taiao, Know More Do More",Pāuatahanui Inlet,"Pāuatahanui, Porirua",-41.1013,174.9044,https://gopi.org.nz/,"Registered charity set up in 1991 to protect the ecological, recreational and cultural values of Pāuatahanui Inlet. Supports the Porirua Harbour Accord with submissions, monitoring, education and an annual photographic competition.",Annual Pāuatahanui photographic competition | Submissions on resource consents | Inlet monitoring and cleanups | Harbour Accord support,kaitiaki | inlet | charity
Predator Free Porirua,Advocacy / Research,Te Taiao,"Te Taiao, Know More Do More",Predator Free Porirua,Porirua,-41.12,174.865,https://www.predatorfreeporirua.org/,Collective of volunteer suburb groups across Porirua trapping introduced predators and supporting native species through education and community engagement.,Suburb-based trapping groups | Backyard trap setup | Community education,predator free | trapping | native species
Pāuatahanui Wildlife Reserve,Advocacy / Research,Te Taiao,"Te Taiao, Know More Do More",Pāuatahanui Wildlife Reserve,"5 Paekakariki Hill Road, Pāuatahanui",-41.1027,174.908,https://www.forestandbird.org.nz/projects/pauatahanui-wildlife-reserve,50-hectare fully-restored wetland at the eastern end of Pāuatahanui Inlet co-managed by Forest & Bird and the Department of Conservation. Home to the most significant saltmarsh in the lower North Island.,Weekly volunteer working bees | Native nursery and planting | Hides and boardwalks for education,wetland | saltmarsh | DOC / F&B
Forest & Bird Kāpiti-Mana Branch,Advocacy / Research,Te Taiao,Te Taiao,Forest & Bird Kāpiti-Mana,Porirua,-41.1,174.88,https://www.forestandbird.org.nz/,Local branch of Royal Forest and Bird Protection Society covering the Kāpiti-Mana area. Manages the Pāuatahanui Wildlife Reserve committee and advocates on local biodiversity.,Pāuatahanui Reserve Committee | Submissions on local planning | Community education,Forest & Bird | branch | advocacy
